Name                                     Stmts   Miss  Cover
------------------------------------------------------------
health_check/__init__.py                     0      0   100%
health_check/admin.py                        1      0   100%
health_check/api.py                         32      0   100%
health_check/apps.py                         4      0   100%
health_check/migrations/__init__.py          0      0   100%
health_check/models.py                       1      0   100%
health_check/tests.py                       22      0   100%
manage.py                                   11      2    82%
task/__init__.py                             0      0   100%
task/admin.py                               13      0   100%
task/api.py                                 44      2    95%
task/apps.py                                 4      0   100%
task/migrations/0001_initial.py              5      0   100%
task/migrations/0002_initial.py              7      0   100%
task/migrations/__init__.py                  0      0   100%
task/models.py                              22      5    77%
task/schema.py                              25      0   100%
task/tests.py                              138      0   100%
task_manager/__init__.py                     0      0   100%
task_manager/api.py                          8      0   100%
task_manager/settings.py                    26      0   100%
task_manager/urls.py                         4      0   100%
tenant/__init__.py                           0      0   100%
tenant/admin.py                             16      0   100%
tenant/api.py                               16      5    69%
tenant/apps.py                               4      0   100%
tenant/management/__init__.py                0      0   100%
tenant/management/commands/__init__.py       0      0   100%
tenant/migrations/0001_initial.py            9      0   100%
tenant/migrations/__init__.py                0      0   100%
tenant/models.py                            11      2    82%
tenant/schema.py                            33      1    97%
tenant/tests.py                             49      4    92%
------------------------------------------------------------
TOTAL                                      505     21    96%
